Life Ladder;Log GDP per capita;Social support;Healthy life expectancy at birth;Freedom to make life choices;Generosity;Perceptions of corruption;Positive affect
0.98;0.99;0.81;0.99;0.0;0.0;0.2;0.69
0.99;0.98;0.66;0.99;0.4;0.05;0.05;0.68
0.95;0.97;0.0;0.99;0.03;0.0;0.0;0.71
0.94;0.97;0.24;0.99;0.0;0.0;0.0;0.73
0.31;0.6;0.0;0.99;0.0;0.01;0.03;0.79
0.44;0.6;0.0;0.99;0.0;0.99;0.98;0.79
0.45;0.61;0.0;0.99;0.0;0.01;0.91;0.78
0.51;0.62;0.0;0.99;0.0;0.0;0.02;0.74
0.51;0.64;0.0;1.0;0.0;0.02;0.38;0.67
0.8;0.64;0.0;1.0;0.0;0.04;0.91;0.66
0.33;0.63;0.0;1.0;0.0;0.79;0.91;0.63
0.35;0.64;0.0;1.0;0.0;0.99;0.44;0.57
0.76;0.81;0.0;0.98;0.98;0.0;0.04;0.68
0.49;0.84;0.0;0.98;0.46;0.0;0.29;0.63
0.5;0.83;0.0;0.98;0.49;0.0;0.99;0.67
0.55;0.84;0.0;0.98;0.0;0.0;0.2;0.58
0.84;0.82;0.0;0.99;0.0;0.0;0.02;0.68
0.58;0.77;0.0;0.99;0.16;0.0;0.45;0.66
0.9;0.74;0.0;0.99;0.32;0.0;0.9;0.6
1.0;0.7;0.0;0.99;0.04;0.0;0.96;0.56
0.98;0.69;0.0;0.99;0.0;0.08;0.98;0.59
0.96;0.65;0.0;0.99;0.82;0.65;0.85;0.57
0.91;0.63;0.0;0.99;0.85;0.68;0.92;0.57
0.97;0.63;0.0;0.99;0.03;0.64;0.93;0.55
0.92;0.64;0.0;0.99;0.05;0.15;1.0;0.59
0.52;0.14;0.0;0.96;0.0;0.63;0.08;0.63
0.76;0.15;0.0;0.97;0.0;0.56;0.01;0.73
0.81;0.16;0.05;0.97;0.0;0.37;0.21;0.73
0.75;0.17;0.32;0.97;0.0;0.95;0.0;0.75
